id,user_id,timestamp,category_id,description,amount,payment_method_id,notes,type,created_at,updated_at
a0125657-3d40-46d8-90f9-338de2495955,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-17 20:02:30+00,98bbb266-5a66-43bc-8d75-980717561602,choconut tea + banana cake,37.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Need,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
89f8262a-3a0a-47ba-8336-349a08bbce53,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-17 20:10:40+00,422a34ca-3f47-4773-a959-474f6ff6ac39,Crunchy Corn,20.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
0009c729-9324-4aee-85f7-d33d4393f206,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-29 09:35:22+00,422a34ca-3f47-4773-a959-474f6ff6ac39,Canteen Puffcorn + limca,40.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:17:37.352047+00
17c43080-6af3-461b-8bb9-4df3e91c06f4,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-17 23:55:29+00,422a34ca-3f47-4773-a959-474f6ff6ac39,canteen lays + limca,40.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
a93a2283-97ca-4126-a663-25b1e8a1828b,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-18 12:31:38+00,422a34ca-3f47-4773-a959-474f6ff6ac39,"California Burrito ",343.00,1463fe0c-5d09-4fc3-add5-89f6569941fe,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
10a7dd97-0b46-40be-8ccf-0d256997bde0,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-18 16:19:24+00,d6c132fc-24cc-4998-9fc4-15ac64250f85,"Hair Consulatation + Anti Dandruff Shampoo ",1150.00,ea50a20f-df54-4a5f-a578-38cfed563a98,null,Need,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
ab49b037-f35d-40ee-a5aa-dc55444ebb77,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-19 09:49:58+00,59eb7b23-1196-42da-9a24-70d0eccdd94a,Tried to add to zepto wallet but can't use (orbit+coffee),206.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
ffa159f4-c0ea-4e7d-a364-3eb0c20b57f8,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-19 09:50:19+00,422a34ca-3f47-4773-a959-474f6ff6ac39,Punjabi,218.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
24a97d6f-8262-4c9c-8d68-0e0ae01d6c31,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-19 09:50:45+00,98bbb266-5a66-43bc-8d75-980717561602,Choconut,12.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
040e69a9-db2f-4250-9bbd-71845ac4a725,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-19 09:51:33+00,422a34ca-3f47-4773-a959-474f6ff6ac39,ice cream,20.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Want,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
e297beba-bb81-4052-95cb-477aac4f1e4b,86208cab-0dfe-42b4-8792-9b84fc6eefcb,2024-11-19 12:46:21+00,59eb7b23-1196-42da-9a24-70d0eccdd94a,coffee plus orbit,220.00,da53de04-c188-4fe8-a596-9adf5b8851b8,null,Need,2025-04-07 09:08:33.013547+00,2025-04-09 14:18:14.644454+00
